x,y,r,g,b
232,33,230,206,204
64,7,169,192,166
32,20,239,205,203
252,38,177,168,171
157,19,237,196,230
110,3,220,208,212
169,27,184,200,216
291,15,168,135,142
1,40,125,116,119
78,35,218,209,212
218,10,236,226,227
65,39,185,176,179
185,39,207,195,199
151,15,255,158,186
124,25,205,168,160
227,38,201,187,184
243,40,170,161,164
95,15,255,217,240
78,3,204,195,198
210,17,228,212,199
99,30,240,228,228
134,38,215,203,207
85,34,225,213,217
132,17,216,184,161
67,17,249,224,245
109,12,248,236,238
41,35,195,186,189
111,26,206,192,207
266,8,189,177,181
178,1,197,204,196
47,25,184,154,162
140,33,238,226,230
25,37,170,161,164
186,5,235,212,218
230,19,244,229,232
202,30,249,217,222
39,16,237,218,214
65,29,221,217,206
101,1,202,190,190
119,15,219,172,156
290,14,204,169,176
210,37,204,201,210
20,8,197,178,172
247,0,173,158,165
266,15,222,182,174
20,26,208,202,176
196,0,190,188,191
118,20,254,212,200
292,20,116,90,91
255,8,212,193,195
24,32,199,190,193
57,5,202,197,191
244,27,230,211,213
66,37,201,192,195
205,14,204,123,140
111,9,241,230,228
130,9,208,153,148
53,25,231,221,229
207,1,193,188,192
290,2,144,140,137
17,32,191,182,185
43,4,190,181,184
138,30,255,227,235
134,30,229,236,228
5,6,174,143,148
159,38,221,202,208
148,6,244,216,215
262,27,236,171,191
221,14,244,227,237
242,35,206,197,200
66,26,170,187,153
279,39,153,144,147
263,20,220,128,143
168,3,217,214,209
34,33,200,191,194
97,34,230,218,222
171,39,211,199,203
227,36,223,198,193
35,19,239,211,207
2,3,145,140,137
193,18,255,218,218
96,27,216,203,213
228,27,251,224,217
237,38,182,183,178
297,3,147,139,137
231,33,235,207,204
103,9,190,175,198
230,26,243,219,217
27,2,167,157,158
140,26,247,210,217
188,4,230,209,216
224,37,210,189,184
26,34,187,178,181
189,13,255,189,210
197,38,211,199,203
299,23,196,187,190
63,14,208,226,200
234,37,197,192,189
129,16,251,189,174
33,30,220,200,193
57,40,172,163,166
90,2,217,190,197
159,28,255,216,246
161,35,234,222,226
76,16,255,191,228
119,37,221,209,213
107,11,236,222,239
69,39,188,179,182
262,28,238,191,209
222,8,234,219,226
172,29,218,238,227
198,14,199,107,128
182,10,236,229,223
196,3,223,204,210
88,36,218,206,210
266,6,190,181,184
103,31,239,228,226
270,16,231,153,130
93,39,200,188,192
62,3,190,187,178
173,10,254,221,230
199,28,233,218,215
159,32,221,189,200
149,11,201,110,127
225,22,240,233,241
39,21,239,224,219
78,19,217,128,186
32,18,213,178,176
290,4,163,155,153
61,3,191,188,179
276,14,198,156,132
125,18,235,197,186
187,39,207,195,199
13,38,153,144,147
192,7,225,227,222
179,39,207,195,199
244,21,238,213,217
205,17,214,103,122
15,15,197,134,142
189,20,255,153,163
280,21,221,197,171
290,39,140,129,133
296,13,198,182,183
104,1,202,191,189
52,16,210,197,180
55,21,228,235,217
290,24,208,180,179
0,1,152,119,128
255,32,211,202,205
182,14,212,161,166
207,5,229,208,213
196,10,242,235,229
63,38,188,179,182
182,19,255,228,223
47,4,192,186,190
210,2,210,193,203
149,28,231,234,239
91,19,209,137,177
87,32,234,222,226
40,16,219,199,198
56,33,215,206,209
40,4,189,177,177
191,10,241,225,235
230,16,240,224,227
186,25,255,187,190
51,17,197,177,168
154,12,237,156,189
139,21,249,151,166
74,21,237,212,216
94,29,250,229,226
275,38,161,152,155
248,26,142,123,125
269,26,220,187,170
188,24,255,163,167
184,9,233,229,218
176,12,240,222,255
224,1,188,183,180
22,35,176,167,170
87,15,231,199,220
216,28,250,220,210
223,36,224,197,186
69,14,234,237,216
160,30,238,206,229
225,13,245,226,228
16,17,191,88,105
45,36,193,184,187
25,2,165,154,158
76,31,240,224,225
165,40,204,192,196
235,4,205,197,195
214,19,203,232,210
74,25,244,230,230
298,40,127,118,121
118,29,249,230,234
29,14,227,200,207
148,24,228,236,239
228,37,213,195,191
98,36,222,210,214
85,27,230,234,233
232,26,205,181,177
